Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,V,18.44056389,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,10,12",29,25,2,2,0.068965517,1,0.068965517,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 254,C^1,18.38073611,-97.39075833,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"8,12",7,7,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 254,B,18.38073611,-97.39075833,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,10,12",104,94,4,5,0.038461538,1.25,0.048076923,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,IV,18.44056389,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,10,12",51,34,8,7,0.156862745,0.875,0.137254902,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35w,3 - 4,18.44108889,-97.54069722,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,10,12",107,77,1,1,0.009345794,1,0.009345794,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35e,E,18.44108889,-97.54069722,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,12",21,8,13,13,0.619047619,1,0.619047619,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 255,B,18.38073611,-97.39075833,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,12",43,42,1,1,0.023255814,1,0.023255814,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 35e,D,18.44108889,-97.54069722,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,10,12",46,22,18,18,0.391304348,1,0.391304348,,,,,,,,,,,,,,
Guatemala,Petén Basin,Tikal,na,17.22209444,-89.62361389,Classic,n/a,1700,1100,n/a,Moholy-Nagy in Gaxiola G. and Clark (1989),1,na,na,56352,11057,na,0.196213089,na,,,,,,,,,,,,,,
Belize,Corozal District,Cerros,Operation 1,18.35833333,-88.35194444,Late Preclassic,n/a,2250,1650,n/a,Mitchum in Gaxiola G. and Clark (1989),3,202,na,na,60,na,na,0.297029703,,,,,,,,,,,,,,
Belize,Corozal District,Cerros,Operation 34,18.35833333,-88.35194444,Late Preclassic,n/a,2250,1650,n/a,Mitchum in Gaxiola G. and Clark (1989),3,197,na,na,95,na,na,0.482233503,,,,,,,,,,,,,,
